Iteration,CPUTime,PhysTime,Travels,Value,AvValue,MinValue,MaxValue,Delta,Criteria,PrevAvRefValue,Progress,CriteriaType,CriteriaVarType,CriteriaPercentage
58,213,0,0.535018491,0.228767027,0.228721244,0.228670765,0.228771279,6.01406E-05,0,0,0,0,0,3
59,216,0,0.544242948,0.228762869,0.228722673,0.228670765,0.228771279,5.77648E-05,0,0,0,0,0,3
60,220,0,0.553467405,0.228779634,0.228724482,0.228670765,0.228779634,5.51229E-05,0,0,0,0,0,3
61,223,0,0.562691861,0.22878062,0.228726101,0.228670765,0.22878062,5.38191E-05,0,0,0,0,0,3
62,227,0,0.571916318,0.228768247,0.228727527,0.228670765,0.22878062,5.39164E-05,0,0,0,0,0,3
63,230,0,0.581140775,0.228760423,0.228728898,0.228670765,0.22878062,5.52875E-05,0,0,0,0,0,3
64,234,0,0.590365232,0.228761695,0.228730486,0.228670765,0.22878062,5.68755E-05,0,0,0,0,0,3
65,237,0,0.599589688,0.228764827,0.228732196,0.228675605,0.22878062,5.84044E-05,0,0,0,0,0,3
66,241,0,0.608814145,0.228765233,0.228733826,0.228681923,0.22878062,5.93563E-05,0,0,0,0,0,3
67,245,0,0.618038602,0.228768575,0.228735401,0.228692893,0.22878062,5.95147E-05,0,0,0,0,0,3
68,248,0,0.627263059,0.228763311,0.228736682,0.228696508,0.22878062,5.9322E-05,0,0,0,0,0,3
69,252,0,0.636487515,0.228781466,0.228738226,0.22869654,0.228781466,5.93016E-05,0,0,0,0,0,3
70,255,0,0.645711972,0.228778987,0.228739647,0.22869654,0.228781466,5.94093E-05,0,0,0,0,0,3
71,258,0,0.654936429,0.228773661,0.228740988,0.22869654,0.228781466,5.96825E-05,0,0,0,0,0,3
72,262,0,0.664160886,0.228765775,0.228742213,0.22869654,0.228781466,5.98414E-05,0,0,0,0,0,3
73,265,0,0.673385342,0.228765343,0.228743392,0.22869654,0.228781466,6.00396E-05,0,0,0,0,0,3
74,269,0,0.682609799,0.228765229,0.22874456,0.22869654,0.228781466,6.0254E-05,0,0,0,0,0,3
75,273,0,0.691834256,0.228769932,0.228745787,0.22869654,0.228781466,6.06369E-05,0,0,0,0,0,3
76,277,0,0.701058712,0.228770671,0.228747035,0.22869654,0.228781466,6.11322E-05,0,0,0,0,0,3
77,281,0,0.710283169,0.228790337,0.228748646,0.22869654,0.228790337,6.20921E-05,0,0,0,0,0,3
78,285,0,0.719507626,0.2287919,0.228750301,0.22869654,0.2287919,6.31685E-05,0,0,0,0,0,3
79,289,0,0.728732083,0.228783012,0.228751803,0.22869654,0.2287919,6.42937E-05,0,0,0,0,0,3
80,292,0,0.737956539,0.228770713,0.228753151,0.228701137,0.2287919,6.51181E-05,0,0,0,0,0,3
81,296,0,0.747180996,0.22876729,0.228754354,0.228704688,0.2287919,6.57041E-05,0,0,0,0,0,3
82,299,0,0.756405453,0.228762426,0.228755404,0.228705347,0.2287919,6.60891E-05,0,0,0,0,0,3
83,303,0,0.76562991,0.228760799,0.228756377,0.228705347,0.2287919,6.65097E-05,0,0,0,0,0,3
84,307,0,0.774854366,0.228779248,0.228757721,0.228706556,0.2287919,6.71919E-05,0,0,0,0,0,3
85,311,0,0.784078823,0.228770483,0.228758826,0.228706556,0.2287919,6.73459E-05,0,0,0,0,0,3
86,314,0,0.79330328,0.228763761,0.228759621,0.228706556,0.2287919,6.76702E-05,0,0,0,0,0,3
87,318,0,0.802527737,0.228762607,0.22876064,0.228717415,0.2287919,6.75944E-05,0,0,0,0,0,3
88,321,0,0.811752193,0.228770216,0.228761406,0.228717415,0.2287919,6.76437E-05,0,0,0,0,0,3
89,325,0,0.82097665,0.228787724,0.228762685,0.228730277,0.2287919,6.1623E-05,0,0,0,0,0,3
90,328,0,0.830201107,0.228783788,0.228763638,0.228730277,0.2287919,6.1623E-05,0,0,0,0,0,3
91,332,0,0.839425564,0.228779747,0.228764454,0.228730277,0.2287919,6.1623E-05,0,0,0,0,0,3
92,336,0,0.84865002,0.228770212,0.22876499,0.228730277,0.2287919,6.1623E-05,0,0,0,0,0,3
93,339,0,0.857874477,0.228773278,0.228765711,0.228730277,0.2287919,6.1623E-05,0,0,0,0,0,3
